 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
    84.50       8.03E-17  1.73E-15    86.77  6.87E+14  1.50E-13     5428750
    85.50       8.28E-17  1.74E-15    86.91  6.82E+14  1.51E-13     5419509
    86.50       6.42E-17  1.75E-15    87.02  6.76E+14  1.53E-13     5413070
    87.50       7.48E-17  1.77E-15    86.98  6.70E+14  1.54E-13     5415238
    88.50       6.73E-17  1.78E-15    87.22  6.64E+14  1.55E-13     5400251
    89.50       7.37E-17  1.80E-15    87.45  6.58E+14  1.57E-13     5386149
    90.50       1.04E-16  1.81E-15    87.64  6.52E+14  1.59E-13     5374851
    91.50       8.99E-17  1.83E-15    87.89  6.46E+14  1.61E-13     5359734
    92.50       8.30E-17  1.85E-15    88.15  6.41E+14  1.63E-13     5343629
    93.50       1.02E-16  1.86E-15    88.28  6.35E+14  1.64E-13     5335285
    94.50       7.76E-17  1.88E-15    88.46  6.29E+14  1.66E-13     5324742
    95.50       8.00E-17  1.90E-15    88.52  6.23E+14  1.68E-13     5320956
    96.50       7.30E-17  1.91E-15    88.81  6.18E+14  1.70E-13     5303807
    97.50       1.53E-16  1.93E-15    88.91  6.12E+14  1.72E-13     5298274
    98.50       7.46E-17  1.95E-15    89.05  6.06E+14  1.73E-13     5289377
    99.50       1.47E-16  1.97E-15    89.27  6.00E+14  1.76E-13     5276383
   100.50       9.07E-17  1.98E-15    89.26  5.95E+14  1.77E-13     5276962
   101.50       8.13E-17  2.00E-15    89.18  5.89E+14  1.78E-13     5281722
   102.50       8.82E-17  2.02E-15    89.15  5.84E+14  1.80E-13     5283564
   103.50       1.06E-16  2.04E-15    89.04  5.78E+14  1.81E-13     5290463
   104.50       8.60E-17  2.05E-15    89.02  5.72E+14  1.83E-13     5291520
   105.50       1.13E-16  2.07E-15    88.97  5.67E+14  1.84E-13     5293816
   106.50       1.46E-16  2.09E-15    88.94  5.61E+14  1.86E-13     5296196
   107.50       8.77E-17  2.11E-15    88.87  5.57E+14  1.87E-13     5300271
   108.50       1.18E-16  2.12E-15    88.82  5.52E+14  1.88E-13     5303134
   109.50       7.77E-17  2.14E-15    88.71  5.48E+14  1.90E-13     5309896
   110.50       1.16E-16  2.15E-15    88.60  5.43E+14  1.91E-13     5316403
   111.50       1.50E-16  2.17E-15    88.61  5.38E+14  1.92E-13     5315865
   112.50       9.55E-17  2.19E-15    88.58  5.33E+14  1.94E-13     5317771
   113.50       1.05E-16  2.20E-15    88.50  5.29E+14  1.95E-13     5322692
