 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
    96.50       1.60E-16  1.62E-15    95.90  7.61E+14  1.55E-13     2612713
    97.50       2.07E-16  1.64E-15    95.71  7.52E+14  1.57E-13     2618013
    98.50       1.88E-16  1.65E-15    95.33  7.42E+14  1.58E-13     2628603
    99.50       1.52E-16  1.67E-15    95.11  7.35E+14  1.59E-13     2634961
   100.50       1.49E-16  1.69E-15    94.78  7.25E+14  1.60E-13     2643306
   106.00       2.00E-17  1.79E-15    92.94  6.80E+14  1.66E-13    26958920
   116.00       1.88E-17  1.94E-15    89.75  6.14E+14  1.74E-13    27919148
   126.00       2.13E-17  2.09E-15    86.79  5.61E+14  1.81E-13    28869858
   136.00       2.33E-17  2.22E-15    84.02  5.19E+14  1.86E-13    29823906
   146.00       2.17E-17  2.34E-15    81.50  4.85E+14  1.91E-13    30745445
   156.00       1.70E-17  2.46E-15    79.12  4.56E+14  1.94E-13    31669807
   166.00       1.85E-17  2.57E-15    76.96  4.33E+14  1.98E-13    32558575
   176.00       1.82E-17  2.67E-15    74.91  4.13E+14  2.00E-13    33450913
   186.00       1.87E-17  2.77E-15    73.10  3.95E+14  2.03E-13    34279943
   196.00       1.77E-17  2.86E-15    71.37  3.80E+14  2.04E-13    35107731
   206.00       1.82E-17  2.95E-15    69.39  3.67E+14  2.05E-13    36109907
   216.00       1.59E-17  3.03E-15    67.40  3.55E+14  2.04E-13    37176298
   226.00       1.54E-17  3.09E-15    65.66  3.45E+14  2.03E-13    38164965
   236.00       1.92E-17  3.15E-15    64.06  3.37E+14  2.02E-13    39113415
   246.00       1.50E-17  3.20E-15    62.76  3.30E+14  2.01E-13    39925710
   256.00       1.47E-17  3.24E-15    61.56  3.24E+14  1.99E-13    40705207
   266.00       1.48E-17  3.27E-15    60.49  3.20E+14  1.98E-13    41427937
   276.00       1.34E-17  3.30E-15    59.54  3.16E+14  1.97E-13    42088986
   286.00       1.48E-17  3.32E-15    58.72  3.13E+14  1.95E-13    42676000
   296.00       1.44E-17  3.34E-15    57.97  3.11E+14  1.93E-13    43227252
   306.00       1.43E-17  3.35E-15    57.30  3.09E+14  1.92E-13    43733727
   316.00       1.28E-17  3.35E-15    56.69  3.08E+14  1.90E-13    44199084
   326.00       1.26E-17  3.36E-15    56.11  3.06E+14  1.89E-13    44653369
   336.00       1.34E-17  3.36E-15    55.60  3.06E+14  1.87E-13    45069363
   346.00       1.59E-17  3.33E-15    56.02  3.15E+14  1.86E-13    40312442
   356.00            NaN       NaN      NaN       NaN       NaN           0
   366.00            NaN       NaN      NaN       NaN       NaN           0
   376.00            NaN       NaN      NaN       NaN       NaN           0
   386.00            NaN       NaN      NaN       NaN       NaN           0
   396.00            NaN       NaN      NaN       NaN       NaN           0
   406.00            NaN       NaN      NaN       NaN       NaN           0
   416.00            NaN       NaN      NaN       NaN       NaN           0
   426.00            NaN       NaN      NaN       NaN       NaN           0
   436.00            NaN       NaN      NaN       NaN       NaN           0
   446.00            NaN       NaN      NaN       NaN       NaN           0
   456.00            NaN       NaN      NaN       NaN       NaN           0
   466.00            NaN       NaN      NaN       NaN       NaN           0
   476.00            NaN       NaN      NaN       NaN       NaN           0
   486.00            NaN       NaN      NaN       NaN       NaN           0
   496.00            NaN       NaN      NaN       NaN       NaN           0
   506.00            NaN       NaN      NaN       NaN       NaN           0
   516.00            NaN       NaN      NaN       NaN       NaN           0
   526.00            NaN       NaN      NaN       NaN       NaN           0
   536.00            NaN       NaN      NaN       NaN       NaN           0
   546.00            NaN       NaN      NaN       NaN       NaN           0
   556.00            NaN       NaN      NaN       NaN       NaN           0
   566.00            NaN       NaN      NaN       NaN       NaN           0
   576.00            NaN       NaN      NaN       NaN       NaN           0
   586.00            NaN       NaN      NaN       NaN       NaN           0
   596.00            NaN       NaN      NaN       NaN       NaN           0
   606.00            NaN       NaN      NaN       NaN       NaN           0
   616.00            NaN       NaN      NaN       NaN       NaN           0
   626.00            NaN       NaN      NaN       NaN       NaN           0
   636.00            NaN       NaN      NaN       NaN       NaN           0
   646.00            NaN       NaN      NaN       NaN       NaN           0
   656.00            NaN       NaN      NaN       NaN       NaN           0
   666.00            NaN       NaN      NaN       NaN       NaN           0
   676.00            NaN       NaN      NaN       NaN       NaN           0
   686.00            NaN       NaN      NaN       NaN       NaN           0
   696.00            NaN       NaN      NaN       NaN       NaN           0
   706.00            NaN       NaN      NaN       NaN       NaN           0
   716.00            NaN       NaN      NaN       NaN       NaN           0
   726.00            NaN       NaN      NaN       NaN       NaN           0
   736.00            NaN       NaN      NaN       NaN       NaN           0
   746.00            NaN       NaN      NaN       NaN       NaN           0
   756.00            NaN       NaN      NaN       NaN       NaN           0
   766.00            NaN       NaN      NaN       NaN       NaN           0
   776.00            NaN       NaN      NaN       NaN       NaN           0
   786.00            NaN       NaN      NaN       NaN       NaN           0
   796.00            NaN       NaN      NaN       NaN       NaN           0
   806.00            NaN       NaN      NaN       NaN       NaN           0
   816.00            NaN       NaN      NaN       NaN       NaN           0
   826.00            NaN       NaN      NaN       NaN       NaN           0
   836.00            NaN       NaN      NaN       NaN       NaN           0
   846.00            NaN       NaN      NaN       NaN       NaN           0
   856.00            NaN       NaN      NaN       NaN       NaN           0
   866.00            NaN       NaN      NaN       NaN       NaN           0
   876.00            NaN       NaN      NaN       NaN       NaN           0
   886.00            NaN       NaN      NaN       NaN       NaN           0
   896.00            NaN       NaN      NaN       NaN       NaN           0
